car,entered,1040
car,entered,1040
car,exited,1041
car,exited,1041
car,exited,1042
car,exited,1043
car,exited,1043
car,exited,1043
car,entered,1044
car,entered,1044
car,exited,1045
car,entered,1046
motorbike,entered,1046
car,entered,1048
motorbike,exited,1048
car,exited,1050
car,exited,1050
car,entered,1051
car,entered,1051
car,exited,1052
car,entered,1053
car,entered,1055
car,exited,1056
car,exited,1057
person,entered,1061
car,entered,1062
car,entered,1062
car,exited,1063
car,exited,1063
person,exited,1064
car,entered,1065
person,entered,1065
car,entered,1067
car,entered,1067
person,exited,1067
car,exited,1072
car,exited,1075
car,entered,1078
car,exited,1082
person,entered,1082
car,entered,1084
person,exited,1084
car,exited,1085
traffic light,entered,1085
car,exited,1086
traffic light,exited,1086
car,exited,1087
car,exited,1088
car,entered,1091
car,entered,1093
car,exited,1094
person,entered,1094
car,entered,1095
person,exited,1095
car,exited,1096
car,exited,1099
car,entered,1100
car,entered,1102
car,entered,1102
car,entered,1105
car,entered,1105
motorbike,entered,1105
person,entered,1105
motorbike,exited,1106
person,exited,1106
car,exited,1107
car,entered,1110
car,exited,1111
car,entered,1112
car,entered,1113
car,exited,1114
car,exited,1114
car,entered,1115
car,entered,1117
car,exited,1118
car,exited,1118
car,entered,1119
car,exited,1120
car,entered,1123
car,exited,1125
car,exited,1125
car,exited,1126
car,entered,1127
car,exited,1128
car,exited,1129
car,entered,1130
car,entered,1131
car,exited,1133
car,entered,1134
car,entered,1134
car,exited,1135
car,exited,1135
car,entered,1136
car,entered,1137
car,exited,1140
car,exited,1140
car,entered,1141
car,entered,1143
bus,entered,1144
bus,exited,1145
car,exited,1147
car,exited,1148
car,entered,1149
car,entered,1151
car,exited,1152
car,exited,1153
car,entered,1154
bus,entered,1155
car,exited,1156
bus,exited,1160
bus,entered,1161
car,entered,1162
truck,entered,1162
car,entered,1163
car,entered,1163
bus,exited,1163
truck,exited,1163
car,entered,1165
car,exited,1169
car,entered,1170
car,entered,1170
bus,entered,1172
car,exited,1172
bus,exited,1173
car,entered,1174
car,exited,1176
car,entered,1177
car,exited,1178
car,entered,1179
car,exited,1181
car,exited,1181
car,exited,1181
car,entered,1182
car,entered,1183
car,exited,1185
car,exited,1186
car,exited,1191
car,exited,1193
car,entered,1194
car,entered,1194
car,entered,1194
car,exited,1195
car,exited,1195
car,exited,1195
car,entered,1197
car,exited,1198
car,entered,1199
car,exited,1202
car,entered,1205
car,exited,1206
car,entered,1207
car,exited,1208
car,exited,1212
car,exited,1214
car,entered,1216
car,entered,1218
car,exited,1219
car,entered,1222
car,entered,1223
car,exited,1226
car,exited,1226
car,exited,1229
car,entered,1231
car,exited,1232
car,entered,1233
car,entered,1237
car,entered,1237
car,exited,1241
car,exited,1247
car,entered,1248
car,exited,1249
car,entered,1252
car,entered,1252
car,entered,1254
car,entered,1255
car,exited,1256
car,exited,1257
car,exited,1257
car,entered,1258
car,entered,1260
car,exited,1261
car,exited,1262
car,exited,1262
car,entered,1263
car,entered,1264
car,exited,1266
car,entered,1269
car,exited,1270
car,entered,1272
car,exited,1277
person,entered,1278
car,entered,1279
person,exited,1279
car,entered,1280
car,exited,1281
car,exited,1283
car,exited,1286
car,entered,1287
car,entered,1288
car,exited,1291
car,exited,1294
car,entered,1297
car,exited,1298
